id,year,area,sp_area,day,body,alternatives,answer
01,2013,CH - Ciências Humanas,,D1,"QUESTÃO 01  
De acordo com o sociólogo Antony Giddens:
Ao longo das três últimas décadas, houve uma 
explosão de movimentos sociais pelo mundo. 
Essa diversidade de movimentos — que vão desde 
os movimentos por direitos civis e os movimentos 
feministas dos anos de 1960 e 1970, até os movimentos 
antinucleares e ecológicos dos anos de 1980 e a campanha 
pelos direitos homossexuais da década de 1990 — 
é normalmente denominado pelos comentadores do 
tema como novos movimentos sociais.
Uma explicação para a expansão dos chamados novos 
movimentos sociais nas últimas três décadas é a","
A fragilidade das redes globais comunicacionais, como internet e telefonia.
B garantia dos direitos sociais constitucionais, como educação e previdência.
C crise das organizações representativas tradicionais, como partidos e sindicatos.
D instabilidade das instituições políticas democráticas, como eleições e parlamentos.
E consolidação das corporações transnacionais monopolistas, como petrolíferas e mineradoras.",C
02,2013,CH - Ciências Humanas,,D1,QUESTÃO 02  ,"
A Inglaterra deve governar o mundo porque é a melhor; 
o poder deve ser usado; seus concorrentes imperiais não 
são dignos; suas colônias devem crescer, prosperar e 
continuar ligadas a ela. Somos dominantes, porque temos 
o poder (industrial, tecnológico, militar, moral), e elas não; 
elas são inferiores; nós, superiores, e assim por diante.
O texto reproduz argumentos utilizados pelas potências 
europeias para dominação de regiões na África e na Ásia, 
a partir de 1870. Tais argumentos justificavam suas ações 
imperialistas, concebendo-as como parte de uma
A cruzada religiosa.
B catequese cristã.
C missão civilizatória.
D expansão comercial ultramarina.
E política exterior multiculturalista.",D
03,2013,CH - Ciências Humanas,,D1,"QUESTÃO 03  
Embora o aspecto mais óbvio da Guerra Fria fosse 
o confronto militar e a cada vez mais frenética corrida 
armamentista, não foi esse o seu grande impacto. 
As armas nucleares nunca foram usadas. Muito mais 
óbvias foram as consequências políticas da Guerra Fria.
O conflito entre as superpotências teve sua expressão 
emblemática no(a)","
A formação do mundo bipolar.
B aceleração da integração regional.
C eliminação dos regimes autoritários.
D difusão do fundamentalismo islâmico.
E enfraquecimento dos movimentos nacionalistas.",E
04,2013,CH - Ciências Humanas,,D1,"QUESTÃO 04  
Descrição da imagem: Fotografia de um avião 
atacando os prédios conhecidos como Torres 
Gêmeas, quando uma delas já está em chamas, na 
cidade de Nova Iorque.
Os eventos ocorridos no dia 11 de setembro de 2001 
geraram mudanças sociais nos Estados Unidos, que","
A ampliaram o isolacionismo e autossuficiência da economia norte-americana.
B mitigaram o patriotismo e os laços familiares em razão das mortes causadas.
C atenuaram o xenofobismo e a tensão política entre os países do Oriente e Ocidente.
D aumentaram o preconceito contra os indivíduos de origem árabe e religião islâmica.
E diminuíram a popularidade e legitimidade imediata do chefe de Estado para lidar com o evento.",A
05,2013,CH - Ciências Humanas,,D1,"QUESTÃO 05  
Hobbes realiza o esforço supremo de atribuir ao 
contrato uma soberania absoluta e indivisível. Ensina 
que, por um único e mesmo ato, os homens naturais 
constituem-se em sociedade política e submetem-se a 
um senhor, a um soberano. Não firmam contrato com 
esse senhor, mas entre si. É entre si que renunciam, em 
proveito desse senhor, a todo o direito e toda liberdade 
nocivos à paz.
a proposta de organização da sociedade apresentada no 
texto encontra-se fundamentada na","
A imposição das leis e na respeitabilidade ao soberano.
B abdicação dos interesses individuais e na legitimidade do governo.
C alteração dos direitos civis e na representatividade do monarca.
D cooperação dos súditos e na legalidade do poder democrático.
E mobilização do povo e na autoridade do parlamento.",B
06,2013,CH - Ciências Humanas,,D1,"QUESTÃO 06  
Há dois pilares para a concepção multilateral de 
justiça: a ideia de que a relação entre Estados é baseada 
na igualdade jurídica e a noção de que a Carta da ONU 
deveria promover os direitos humanos e o progresso 
social. Do primeiro pilar derivam as normas de não 
intervenção, de respeito à integridade territorial e de não 
ingerência. São as normas que garantem as condições 
dos processos deliberativos justos entre iguais.
Nessa concepção de justiça, o cumprimento das normas 
jurídicas mencionadas é a condição indispensável para a 
efetivação do seguinte aspecto político:","
A Voto censitário.
B Sufrágio universal.
C Soberania nacional.
D Nacionalismo separatista.
E Governo presidencialista.",C
07,2013,CH - Ciências Humanas,,D1,"QUESTÃO 07  
TEXTO I
O aparecimento da máquina movida a vapor foi 
o nascimento do sistema fabril em grande escala, 
representando um aumento tremendo na produção, 
abrindo caminho na direção dos lucros, resultado 
do aumento da procura. Eram forças abrindo um 
novo mundo.
TEXTO II
Os edifícios das fábricas adaptavam-se mal à 
concentração de numerosa mão de obra, reunida 
para longos dias de trabalho, numa situação árdua e 
insalubre. O trabalho nas fábricas destruiu o sistema 
doméstico de produção. Homens, mulheres e crianças 
deixavam os lugares onde moravam para trabalhar em 
diferentes fábricas.
As estratégias empregadas pelos textos para abordar o 
impacto da Revolução Industrial sobre as sociedades que 
se industrializavam são, respectivamente,","
A ressaltar a expansão tecnológica e deter-se no trabalho doméstico.
B acentuar as inovações tecnológicas e priorizar as mudanças no mundo do trabalho.
C debater as consequências sociais e valorizar a reorganização do trabalho.
D indicar os ganhos sociais e realçar as perdas culturais.
E minimizar as transformações sociais e criticar os avanços tecnológicos.",D
08,2013,CH - Ciências Humanas,,D1,"QUESTÃO 08  
Do outro lado do Atlântico, a coisa é bem diferente. ","
A classe média europeia não está acostumada com a 
moleza. Toda pessoa normal que se preze esfria a barriga 
no tanque e a esquenta no fogão, caminha até a padaria 
para comprar o seu próprio pão e enche o tanque de 
gasolina com as próprias mãos.
a diferença entre os costumes assinalados no texto e os 
da classe média brasileira é consequência da ocorrência 
no Brasil de
A automação do trabalho nas fábricas, relacionada à expansão tecnológica.
B ampliação da oferta de empregos, vinculada à concessão de direitos sociais.
C abertura do mercado nacional, associada à modernização conservadora.
D oferta de mão de obra barata, conjugada à herança patriarcal.
E consolidação da estabilidade econômica, ligada à industrialização acelerada.",D
09,2013,CH - Ciências Humanas,,D1,"QUESTÃO 09  
Classes sociais no Brasil (2005-2010)
Descrição da imagem: O gráfico I, referente a 2005, 
no formato de uma pirâmide, registra a população 
total de 182 060 108 e expressa os seguintes dados:
• Classes AB: 26 421 milhões (15%);
• Classe C: 62 702 milhões (34%);
• Classes DE: 92 936 milhões (51%).
O gráfico II, referente a 2010, no formato de um 
losango, registra a população total de 191 795 854 e 
expressa os seguintes dados:
• Classes AB: 42 195 milhões (22%);
• Classe C: 101 651 milhões (53%);
• Classes DE: 47 948 milhões (25%).
a mudança na distribuição das classes de 2005 a 2010 
implicou uma expressiva alteração no formato do primeiro 
para o segundo gráfico. Um processo associado a essa 
mudança está indicado no(a)","
A expansão do mercado interno.
B concentração da renda nacional.
C persistência da crise internacional.
D crescimento demográfico acelerado.
E fracasso das políticas redistributivas.",B
10,2013,CH - Ciências Humanas,,D1,"QUESTÃO 10  
Ninguém vive sem ocupar espaço, sem respirar, 
sem alimentar-se, sem ter um teto para abrigar-se e, na 
Modernidade, sem o que se incorporou na vida cotidiana: 
luz, telefone, televisão, rádio, refrigeração dos alimentos 
etc. A humanidade não vive sem ocupar espaço, sem 
utilizar-se cada vez mais intensamente das riquezas 
naturais que são apropriadas privadamente.
O texto defende que duas mudanças provocadas pela 
ação humana na Modernidade são o(a)","
A alteração no modo de vida das comunidades e a delimitação dos problemas ambientais em escala local.
B surgimento de novas formas de apropriação dos territórios e a utilização pública dos recursos naturais.
C incorporação de novas tecnologias no processo produtivo e a aceleração dos problemas ambientais.
D aumento do consumo de bens e mercadorias e a utilização de mão de obra nas unidades produtivas.
E esgotamento das reservas naturais e a desaceleração da produção de bens de consumo humano.",B
